"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.EG8"	"Volunteer 4"	"8.5"	6.0847286112	"Arm"	"male"	"Volunteer 4Arm"	5.82211325456
"10370.1F2"	"Volunteer 4"	"0"	4.05254467066	"Face"	"male"	"Volunteer 4Face"	4.05254467066
"10370.5E11"	"Volunteer 4"	"1"	4.79382714369	"Face"	"male"	"Volunteer 4Face"	4.79382714369
"10370.7D3"	"Volunteer 4"	"2"	4.94993757524	"Face"	"male"	"Volunteer 4Face"	5.34992768099
"10370.9E6"	"Volunteer 4"	"3"	4.61347317553	"Face"	"male"	"Volunteer 4Face"	4.4517225983225
"10370.14F11"	"Volunteer 4"	"5"	4.35067552396	"Face"	"male"	"Volunteer 4Face"	4.439773628085
"10370.16E6"	"Volunteer 4"	"6"	4.62298655992	"Face"	"male"	"Volunteer 4Face"	4.881620659825
"10370.19B8"	"Volunteer 4"	"7"	5.20480530137	"Face"	"male"	"Volunteer 4Face"	4.5291941958125
"10370.21E6"	"Volunteer 4"	"8"	4.65632119121	"Face"	"male"	"Volunteer 4Face"	4.49631267755333
"10370.23A3"	"Volunteer 4"	"9"	4.85021225257	"Face"	"male"	"Volunteer 4Face"	4.4900621014575
"10370.AG3"	"Volunteer 4"	"1.5"	4.69794755903	"Face"	"male"	"Volunteer 4Face"	4.73803224900667
"10370.BE11"	"Volunteer 4"	"2.5"	4.02208106366	"Face"	"male"	"Volunteer 4Face"	4.02208106366
"10370.CA3"	"Volunteer 4"	"3.5"	3.50057365803	"Face"	"male"	"Volunteer 4Face"	4.50349029529
"10370.CF11"	"Volunteer 4"	"4.5"	4.68621975509	"Face"	"male"	"Volunteer 4Face"	4.864591504105
"10370.DD1"	"Volunteer 4"	"5.5"	5.0149399671	"Face"	"male"	"Volunteer 4Face"	4.66871204375
"10370.DF11"	"Volunteer 4"	"6.5"	4.0327163444	"Face"	"male"	"Volunteer 4Face"	4.590738935565
"10370.AB12"	"Volunteer 4"	"0.5"	4.91150336915	"Face"	"male"	"Volunteer 4Face"	4.91150336915
"10370.EF12"	"Volunteer 4"	"8.5"	5.1940129057	"Face"	"male"	"Volunteer 4Face"	4.908792613835
"10370.1G1"	"Volunteer 4"	"0"	3.13021856862	"Foot"	"male"	"Volunteer 4Foot"	2.9633625432675
"10370.5F10"	"Volunteer 4"	"1"	4.20649923906	"Foot"	"male"	"Volunteer 4Foot"	3.86481808291
"10370.7E4"	"Volunteer 4"	"2"	3.76971903608	"Foot"	"male"	"Volunteer 4Foot"	3.76847410464333
"10370.9F6"	"Volunteer 4"	"3"	4.07680396879	"Foot"	"male"	"Volunteer 4Foot"	3.2080138563425
"10370.13B4"	"Volunteer 4"	"4"	6.04162767704	"Foot"	"male"	"Volunteer 4Foot"	6.04162767704
"10370.14G11"	"Volunteer 4"	"5"	4.98764682654	"Foot"	"male"	"Volunteer 4Foot"	4.19359019689667
"10370.16F6"	"Volunteer 4"	"6"	5.69519621684	"Foot"	"male"	"Volunteer 4Foot"	5.2937806802125
"10370.19C8"	"Volunteer 4"	"7"	6.08523528117	"Foot"	"male"	"Volunteer 4Foot"	6.03294024803
"10370.21F6"	"Volunteer 4"	"8"	7.80465085755	"Foot"	"male"	"Volunteer 4Foot"	7.7888018567375
"10370.23B3"	"Volunteer 4"	"9"	4.73746583801	"Foot"	"male"	"Volunteer 4Foot"	4.87066056985
"10370.AH3"	"Volunteer 4"	"1.5"	3.85562452178	"Foot"	"male"	"Volunteer 4Foot"	3.3464614813375
"10370.BF8"	"Volunteer 4"	"2.5"	1.2296053077	"Foot"	"male"	"Volunteer 4Foot"	1.3364303835225
"10370.CB3"	"Volunteer 4"	"3.5"	3.27568313027	"Foot"	"male"	"Volunteer 4Foot"	3.3732315392425
"10370.CG11"	"Volunteer 4"	"4.5"	4.67285471398	"Foot"	"male"	"Volunteer 4Foot"	3.8110293869
"10370.DE1"	"Volunteer 4"	"5.5"	5.85476427627	"Foot"	"male"	"Volunteer 4Foot"	3.44954635833
"10370.DG11"	"Volunteer 4"	"6.5"	3.34711846024	"Foot"	"male"	"Volunteer 4Foot"	2.98295425642
"10370.AC11"	"Volunteer 4"	"0.5"	3.80887072111	"Foot"	"male"	"Volunteer 4Foot"	2.96560285436667
"10370.EG12"	"Volunteer 4"	"8.5"	4.05266996781	"Foot"	"male"	"Volunteer 4Foot"	3.688412677945
"10370.1G10"	"Volunteer 5"	"0"	1.55085510364	"Armpit"	"male"	"Volunteer 5Armpit"	1.40459280872325
"10370.3E10"	"Volunteer 5"	"1"	1.61796656455	"Armpit"	"male"	"Volunteer 5Armpit"	1.6732759315575
"10370.6C2"	"Volunteer 5"	"2"	1.19929375986	"Armpit"	"male"	"Volunteer 5Armpit"	1.456975897735
"10370.9A10"	"Volunteer 5"	"3"	1.59009813117	"Armpit"	"male"	"Volunteer 5Armpit"	1.4361961384925
